,coefficient,p_value,significant_at_0.05
age,269.82141695063285,1.1073082756277952e-99,True
smoker_bmi,1444.4695607194476,3.03733459964938e-91,True
smoker,-20301.05660621743,4.9705268738121834e-23,True
bmi_30_flag,2904.9306285388443,2.8065556470830257e-08,True
bmi,-183.65700737253167,7.993035569669401e-05,True
children,505.9640469240769,8.494902864746818e-05,True
region_northeast,870.5775812026295,0.05555626432499327,False
is_male,-531.1252437723097,0.09041346508438562,False
region_northwest,487.92966522920676,0.2767490133311738,False
const,1312.6366820994922,0.3410162269676779,False
region_southwest,-139.51642139758698,0.7513776696996732,False
